"Facility_hydroid","Facility","Use_Type","Locality","FIPS_code","dh_geofield"
73875,"CEDAR BLUFF DAIRY","irrigation","Shenandoah",51171,"POINT (-78.648949 38.673412)"
73876,"RAY A BENNETT","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73877,"ELWOOD L. GOSNEY","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73878,"NICHOL RIVER FARM","irrigation","Rockingham",51165,"POINT (-78.828688 38.304302)"
73880,"FESTIVAL LAKE FARM","irrigation","Loudoun",51107,"POINT (-77.516392 39.102875)"
73881,"SMITH TURF FARM","irrigation","Prince William",51153,"POINT (-99 -99)"
73882,"WOLF TRAP NURSERY","irrigation","Fairfax County",51059,"POINT (-99 -99)"
73883,"XSCAPES LANDSCAPE NURSERY","irrigation","Fairfax County",51059,"POINT (-77.3757927 38.8120437)"
73891,"SELDOM RESTS FARMS","irrigation","Brunswick",51025,"POINT (-99 -99)"
73895,"GILES C GREGORY","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73897,"CULPEPER (TOWN) WTP","municipal","Culpeper",51047,"POINT (-78.004166666667 38.469166666667)"
73898,"Laurel Hill Trout Farm-South Monterey","agriculture","Highland",51091,"POINT (-79.633333333333 38.316666666667)"
73899,"THOMAS L KEATTS","irrigation","Pittsylvania",51143,"POINT (-79.608324 36.58628)"
73900,"MAXEY FARMS","irrigation","Pittsylvania",51143,"POINT (-79.47593 36.851598)"
73901,"Bass Farms","irrigation","Campbell",51031,"POINT (-79.013283 37.168543)"
73902,"SJB FARMS INC","agriculture","Brunswick",51025,"POINT (-78.018183 36.911165)"
73907,"INDIGO PARK/WHITE OAKS SA","municipal","James City",51095,"POINT (-76.75 37.259722222222)"
73909,"CRESENT HEIGHTS SERVICE AREA","municipal","Roanoke County",51161,"POINT (-79.993055555556 37.208333333333)"
73911,"SHERWOOD MANOR SERVICE AREA","municipal","Henry",51089,"POINT (-79.947222222222 36.743055555556)"
73914,"BIG BETHEL WTP","municipal","Hampton",51650,"POINT (-76.415277777778 37.093055555556)"
73915,"FORDS COLONY AT WILLIAMSBURG","commercial","James City",51095,"POINT (-76.779444444444 37.311944444444)"
73922,"LAKEVILLE ESTATES SERVICE AREA","municipal","Virginia Beach",51810,"POINT (-76.198611111111 36.815555555556)"
73926,"CHEROKEE POINT FARMS","irrigation","Northampton",51131,"POINT (-75.928515 37.470172)"
73937,"FRANCIS I JONES JR Farms","irrigation","Northampton",51131,"POINT (-99 -99)"
73938,"F.C. DUMAINE PLANT WTP","manufacturing","Henry",51089,"POINT (-79.936111111111 36.704166666667)"
73939,"Lemon Farm","irrigation","Craig",51045,"POINT (-80.0131 37.5592)"
73941,"SUFFOLK PLANT","manufacturing","Suffolk",51800,"POINT (-76.561666666667 36.746944444444)"
73942,"GLOUCESTER COUNTRY CLUB","commercial","Gloucester",51073,"POINT (-76.531944444444 37.398055555556)"
73943,"DONALD BRADY","irrigation","Carroll",51035,"POINT (-99 -99)"
73946,"DIFFICULT HILL FARM","irrigation","King William",51101,"POINT (-77.230651 37.718)"
73947,"JACK HARRELL, LEASEE","irrigation","Isle of Wight",51093,"POINT (-76.880032 36.779978)"
73949,"ELLISTON SERVICE AREA","municipal","Montgomery",51121,"POINT (-80.214722222222 37.223611111111)"
73951,"CROZET PLANT","manufacturing","Albemarle",51003,"POINT (-78.6875 38.068888888889)"
73952,"INDEPENDENT SERVICE AREA","municipal","Suffolk",51800,"POINT (-76.496388888889 36.909166666667)"
73955,"Vicks Plantation (farm)","irrigation","Southampton",51175,"POINT (-77.057777777778 36.779444444444)"
73956,"BELLWOOD WTP","municipal","Chesterfield",51041,"POINT (-77.440555555556 37.439166666667)"
73957,"BRIGHT OAKS ESTATES SERV AREA","municipal","Chesterfield",51041,"POINT (-77.583055555556 37.282777777778)"
73962,"DANVILLE WTP","manufacturing","Danville",51590,"POINT (-79.426388888889 36.571666666667)"
73968,"ROCKBRIDGE RURAL SERVICE AREA","municipal","Rockbridge",51163,"POINT (-79.525 37.633333333333)"
73969,"PRIMLAND RESORT","commercial","Patrick",51141,"POINT (-80.405277777778 36.649166666667)"
73971,"BUENA VISTA","municipal","Buena Vista",51530,"POINT (-79.373055555556 37.705)"
73975,"RAY'S CREEK GOLF COURSE","commercial","Danville",51590,"POINT (-79.436111111111 36.559722222222)"
73978,"HENRICO PLANT","mining","Henrico",51087,"POINT (-77.231111111111 37.5225)"
73981,"LAKEWOOD FOREST SERVICE AREA","municipal","Henry",51089,"POINT (-79.965277777778 36.619444444444)"
73991,"BELLE MEADE SERVICE AREA","municipal","Roanoke County",51161,"POINT (-80.008611111111 37.221944444444)"
73992,"RESTON NATIONAL GOLF COURSE","commercial","Fairfax County",51059,"POINT (-77.357268 38.945342)"
73994,"FAIRY STONE STATE PARK WTP","commercial","Patrick",51141,"POINT (-80.116666666667 36.771666666667)"
73995,"LYNCHBURG PLANT","manufacturing","Lynchburg",51680,"POINT (-79.147222222222 37.381666666667)"
73997,"Pacific Tomato Growers","irrigation","Northampton",51131,"POINT (75.912916666667 37.016464293064)"
74002,"NOTRE DAME ACADEMY","commercial","Loudoun",51107,"POINT (-77.785 38.988888888889)"
74003,"WATKINS NURSERIES - POWHATAN","irrigation","Powhatan",51145,"POINT (-77.7069461 37.5070294)"
74004,"CHICKAHOMINY RIVER","municipal","New Kent",51127,"POINT (-76.938055555556 37.408333333333)"
74009,"SWEET BRIAR WTP","commercial","Amherst",51009,"POINT (-79.083611111111 37.561666666667)"
74011,"SWEET BRIAR SERVICE AREA","commercial","Amherst",51009,"POINT (-79.080555555556 37.555555555556)"
74012,"STURGIS FARM","irrigation","Accomack",51001,"POINT (-75.8633781 37.6191485)"
74014,"Onyx Hill Fruit and Plants","irrigation","Rockingham",51165,"POINT (-78.983262 38.451206)"
